name,full_name,private,fork,stargazers_count,forks_count,description,html_url
semi-structured-logs,nikitakoselev/semi-structured-logs,False,False,1,0,https://exercism.org/tracks/rust/exercises/semi-structured-logs,https://github.com/nikitakoselev/semi-structured-logs
shopping_rest,nikitakoselev/shopping_rest,False,True,0,0,Spring REST API for products,https://github.com/nikitakoselev/shopping_rest
site-hubspot-migration,nikitakoselev/site-hubspot-migration,False,True,0,0,"repository containing the codes from hubspot cms after migration ( themes, templates, modules..)",https://github.com/nikitakoselev/site-hubspot-migration
skipper,nikitakoselev/skipper,False,True,0,0,"An HTTP router and reverse proxy for service composition, including use cases like Kubernetes Ingress",https://github.com/nikitakoselev/skipper
sleekwaredb,nikitakoselev/sleekwaredb,False,True,2,0,SleekwareDB is a NoSQL database storage service. A database storage service that can be used for various platforms and is easy to integrate.,https://github.com/nikitakoselev/sleekwaredb
slides,nikitakoselev/slides,False,True,0,0,Terminal based presentation tool,https://github.com/nikitakoselev/slides
snyk-intellij-plugin,nikitakoselev/snyk-intellij-plugin,False,True,0,0,Snyk Vulnerability Scanner for IDEs based on the IntelliJ platform,https://github.com/nikitakoselev/snyk-intellij-plugin
socceraction,nikitakoselev/socceraction,False,True,0,0,Convert soccer event stream data to SPADL and value player actions using VAEP or xT,https://github.com/nikitakoselev/socceraction
solace-samples-java,nikitakoselev/solace-samples-java,False,True,0,0,"This repository holds code samples for the ""Solace PubSub+ Messaging API for Java"".  AKA the ""New Java"" API, not JCSMP.",https://github.com/nikitakoselev/solace-samples-java
sorting-room,nikitakoselev/sorting-room,False,False,1,0,https://exercism.org/tracks/go/exercises/sorting-room,https://github.com/nikitakoselev/sorting-room
spacewalk,nikitakoselev/spacewalk,False,True,0,0,,https://github.com/nikitakoselev/spacewalk
spark,nikitakoselev/spark,False,True,0,0,Apache Spark - A unified analytics engine for large-scale data processing,https://github.com/nikitakoselev/spark
spring-boot,nikitakoselev/spring-boot,False,True,0,0,Spring Boot,https://github.com/nikitakoselev/spring-boot
spring-boot-cucumber,nikitakoselev/spring-boot-cucumber,False,True,0,0,Sample project showing how to set up DI with Cucumber using Spring Boot,https://github.com/nikitakoselev/spring-boot-cucumber
spring-cloud-aws,nikitakoselev/spring-cloud-aws,False,True,0,0,The New Home for Spring Cloud AWS,https://github.com/nikitakoselev/spring-cloud-aws
spring-framework,nikitakoselev/spring-framework,False,True,0,0,Spring Framework,https://github.com/nikitakoselev/spring-framework
spring-security,nikitakoselev/spring-security,False,True,0,0,Spring Security,https://github.com/nikitakoselev/spring-security
starter,nikitakoselev/starter,False,True,1,0,Eclipse Starter for Jakarta EE,https://github.com/nikitakoselev/starter
suite,nikitakoselev/suite,False,True,0,0,Spryker Shop Suite based on the Spryker Commerce OS,https://github.com/nikitakoselev/suite
tag-runtime,nikitakoselev/tag-runtime,False,True,0,0,🏃🏿‍♀️🏃🏽‍♀️🏃🏻‍♂️🕒CNCF Technical Advisory Group for Runtime,https://github.com/nikitakoselev/tag-runtime
teamcity-pipelines-dsl,nikitakoselev/teamcity-pipelines-dsl,False,True,0,0,Experimental Kotlin DSL library for TeamCity pipelines,https://github.com/nikitakoselev/teamcity-pipelines-dsl
tecnologias_java,nikitakoselev/tecnologias_java,False,True,0,0,Varios projetos para testar tecnologias diferentes de java,https://github.com/nikitakoselev/tecnologias_java
temporal,nikitakoselev/temporal,False,True,0,0,Temporal service,https://github.com/nikitakoselev/temporal
tensorflow,nikitakoselev/tensorflow,False,True,0,0,An Open Source Machine Learning Framework for Everyone,https://github.com/nikitakoselev/tensorflow
terraform-provider-artifactory,nikitakoselev/terraform-provider-artifactory,False,True,0,0,Terraform provider to manage Artifactory,https://github.com/nikitakoselev/terraform-provider-artifactory
terraform-provider-restapi,nikitakoselev/terraform-provider-restapi,False,True,0,0,A terraform provider to manage objects in a RESTful API,https://github.com/nikitakoselev/terraform-provider-restapi
Test-Driven-Development-in-Go,nikitakoselev/Test-Driven-Development-in-Go,False,True,0,0,"Test-Driven Development in Go, published by Packt",https://github.com/nikitakoselev/Test-Driven-Development-in-Go
test-retry-gradle-plugin,nikitakoselev/test-retry-gradle-plugin,False,True,1,0,Gradle plugin to retry tests that have failed to mitigate test flakiness.,https://github.com/nikitakoselev/test-retry-gradle-plugin
testcontainer-getting-started,nikitakoselev/testcontainer-getting-started,False,False,0,0,A testcontainer demo,https://github.com/nikitakoselev/testcontainer-getting-started
testcontainers-cloud-raffle,nikitakoselev/testcontainers-cloud-raffle,False,True,0,0,,https://github.com/nikitakoselev/testcontainers-cloud-raffle
testcontainers-java,nikitakoselev/testcontainers-java,False,True,0,0,"Testcontainers is a Java library that supports JUnit tests, providing lightweight, throwaway instances of common databases, Selenium web browsers, or anything else that can run in a Docker container.",https://github.com/nikitakoselev/testcontainers-java
testcontainers-java-spring-boot-quickstart,nikitakoselev/testcontainers-java-spring-boot-quickstart,False,True,0,0,Testcontainers QuickStarts,https://github.com/nikitakoselev/testcontainers-java-spring-boot-quickstart
tetris,nikitakoselev/tetris,False,False,0,0,"tetris game, based on http://zetcode.com/tutorials/javagamestutorial/tetris/",https://github.com/nikitakoselev/tetris
texteditor,nikitakoselev/texteditor,False,False,0,0,"Java text editor, based on example from Java Magazine (https://blogs.oracle.com/javamagazine/for-the-fun-of-it-writing-your-own-text-editor-part-1)",https://github.com/nikitakoselev/texteditor
the-farm,nikitakoselev/the-farm,False,False,1,0,https://exercism.org/tracks/go/exercises/the-farm,https://github.com/nikitakoselev/the-farm
